Project Name,False Positives
0xda537104d6a5edd53c6fbba9a898708e465260b6_poly,0
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82_bsc,3
0x582d872a1b094fc48f5de31d3b73f2d9be47def1_eth,0
0xb7b31a6bc18e48888545ce79e83e06003be70930_poly,0
0x7205705771547cf79201111b4bd8aaf29467b9ec_poly,0
0x442f7f22b1ee2c842beaff52880d4573e9201158_avax,0
0x101d82428437127bf1608f699cd651e6abf9766e_bsc,0
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2_eth,3
0x45c32fa6df82ead1e2ef74d17b76547eddfaff89_poly,3
0x3d6545b08693dae087e957cb1180ee38b9e3c25e_bsc,0
0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b_eth,0
0x4e15361fd6b4bb609fa63c81a2be19d873717870_eth,2
0x55d398326f99059ff775485246999027b3197955_bsc,0
0x354a6da3fcde098f8389cad84b0182725c6c91de_arbi,0
0x7950865a9140cb519342433146ed5b40c6f210f7_bsc,0
0x56b6fb708fc5732dec1afc8d8556423a2edccbd6_bsc,0
0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094_bsc,0
0xdb25f211ab05b1c97d595516f45794528a807ad8_eth,1
0x0b220b82f3ea3b7f6d9a1d8ab58930c064a2b5bf_poly,0
0x8290333cef9e6d528dd5618fb97a76f268f3edd4_eth,0
0x912ce59144191c1204e64559fe8253a0e49e6548_arbi,0
0x6b175474e89094c44da98b954eedeac495271d0f_eth,0
0x2791bca1f2de4661ed88a30c99a7a9449aa84174_poly,0
0x6982508145454ce325ddbe47a25d4ec3d2311933_eth,2
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2_eth,2
0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c_poly,0
0xd67de0e0a0fd7b15dc8348bb9be742f3c5850454_avax,0
0xfd7b3a77848f1c2d67e05e54d78d174a0c850335_bsc,0
0xe41d2489571d322189246dafa5ebde1f4699f498_eth,2
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b_eth,2
0xf307910a4c7bbc79691fd374889b36d8531b08e3_bsc,0
0x7c598c96d02398d89fbcb9d41eab3df0c16f227d_fantom,0
0x82e3a8f066a6989666b031d916c43672085b1582_arbi,0
0x5c147e74d63b1d31aa3fd78eb229b65161983b2b_eth,0
0x111111111117dc0aa78b770fa6a738034120c302_bsc,2
0x0f5d2fb29fb7d3cfee444a200298f468908cc942_eth,2
0xa2b726b1145a4773f68593cf171187d8ebe4d495_bsc,0
0xe83ce6bfb580583bd6a62b4be7b34fc25f02910d_bsc,2
0x8f3cf7ad23cd3cadbd9735aff958023239c6a063_poly,0
0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60_arbi,0
0x9623063377ad1b27544c965ccd7342f7ea7e88c7_arbi,0
0xd17479997f34dd9156deef8f95a52d81d265be9c_bsc,0
0x596fa47043f99a4e0f122243b841e55375cde0d2_avax,0
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24_eth,0
0xc669928185dbce49d2230cc9b0979be6dc797957_eth,2
0xc748673057861a797275cd8a068abb95a902e8de_bsc,4
0x9c9e5fd8bbc25984b178fdce6117defa39d2db39_poly,0
0x82f8cb20c14f134fe6ebf7ac3b903b2117aafa62_fantom,0
0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0_arbi,0
0x0000000000085d4780b73119b644ae5ecd22b376_eth,0
0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4_poly,0
0xc3048e19e76cb9a3aa9d77d8c03c29fc906e2437_avax,0
0x45804880de22913dafe09f4980848ece6ecbaf78_eth,0
0x9cd6746665d9557e1b9a775819625711d0693439_poly,0
0x715d400f88c167884bbcc41c5fea407ed4d2f8a0_bsc,0
0xcdf7028ceab81fa0c6971208e83fa7872994bee5_eth,4
0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb_bsc,2
0xba100000625a3754423978a60c9317c58a424e3d_eth,3
0x8fc8f8269ebca376d046ce292dc7eac40c8d358a_eth,2
0xd24c2ad096400b6fbcd2ad8b24e7acbc21a1da64_avax,3
0x4d224452801aced8b2f0aebe155379bb5d594381_eth,0
0x4b0f1812e5df2a09796481ff14017e6005508003_bsc,2
0x4d15a3a2286d883af0aa1b3f21367843fac63e07_arbi,0
0x8ff795a6f4d97e7887c79bea79aba5cc76444adf_bsc,0
